iter	Passed	Remaining
416	1158	1619
417	1160	1615
418	1162	1612
419	1164	1608
420	1166	1604
421	1168	1600
422	1170	1596
423	1172	1592
424	1173	1588
425	1175	1583
426	1176	1579
427	1178	1575
428	1180	1571
429	1182	1567
430	1184	1563
431	1186	1560
432	1188	1556
433	1190	1552
434	1192	1549
435	1194	1544
436	1195	1540
437	1197	1537
438	1201	1535
439	1203	1531
440	1205	1527
441	1207	1524
442	1209	1520
443	1211	1516
444	1212	1512
445	1214	1508
446	1216	1504
447	1223	1507
448	1225	1503
449	1226	1499
450	1228	1495
451	1231	1492
452	1234	1490
453	1237	1488
454	1240	1485
455	1244	1484
456	1245	1480
457	1247	1476
458	1249	1473
459	1255	1474
460	1258	1471
461	1261	1468
462	1263	1465
463	1264	1461
464	1266	1457
465	1268	1453
466	1271	1450
467	1273	1447
468	1274	1443
469	1276	1439
470	1278	1436
471	1280	1432
472	1282	1428
473	1284	1425
474	1286	1422
475	1288	1418
476	1290	1415
477	1292	1411
478	1294	1408
479	1296	1404
480	1298	1401
481	1300	1397
482	1302	1394
483	1304	1390
484	1305	1386
485	1307	1382
486	1309	1379
487	1311	1376
488	1313	1372
489	1315	1369
490	1317	1365
491	1318	1361
492	1320	1357
493	1322	1354
494	1323	1350
495	1325	1346
496	1326	1342
497	1328	1339
498	1331	1336
499	1333	1333
500	1335	1330
501	1337	1326
502	1339	1323
503	1341	1319
504	1342	1316
505	1344	1312
506	1346	1309
507	1348	1305
508	1349	1301
509	1351	1298
510	1353	1294
511	1354	1291
512	1395	1325
513	1398	1322
514	1400	1319
515	1403	1316
516	1406	1313
517	1408	1310
518	1410	1306
519	1411	1303
520	1413	1299
521	1415	1296
522	1417	1293
523	1419	1289
524	1421	1286
525	1423	1282
526	1425	1279
527	1427	1275
528	1431	1274
529	1433	1271
530	1434	1267
531	1436	1263
532	1438	1260
533	1440	1256
534	1442	1253
535	1444	1250
536	1446	1247
537	1448	1243
538	1449	1239
539	1451	1236
540	1453	1232
541	1455	1229
542	1456	1226
543	1458	1222
544	1460	1219
545	1461	1215
546	1463	1212
547	1465	1209
548	1467	1205
549	1475	1207
550	1477	1204
551	1479	1200
552	1481	1197
553	1483	1194
554	1484	1190
555	1486	1187
556	1488	1183
557	1490	1180
558	1492	1177
559	1494	1173
560	1495	1170
561	1497	1167
562	1499	1164
563	1501	1160
564	1503	1157
565	1505	1154
566	1507	1151
567	1509	1148
568	1511	1144
569	1513	1141
570	1515	1138
571	1517	1135
572	1520	1133
573	1522	1129
574	1524	1126
575	1525	1123
576	1527	1119
577	1529	1116
578	1530	1113
579	1532	1109
580	1534	1106
581	1535	1103
582	1537	1100
583	1540	1097
584	1546	1096
585	1547	1093
586	1550	1091
587	1552	1087
588	1555	1085
589	1557	1082
590	1560	1079
591	1561	1076
592	1563	1073
593	1566	1070
594	1567	1067
595	1569	1064
596	1572	1061
597	1573	1058
598	1575	1054
599	1577	1051
600	1578	1048
601	1580	1045
602	1582	1041
603	1585	1039
604	1587	1036
605	1588	1033
606	1590	1029
607	1592	1026
608	1594	1023
609	1596	1020
610	1603	1021
611	1605	1017
612	1607	1014
613	1609	1011
614	1610	1008
615	1612	1005
616	1618	1004
617	1634	1010
618	1636	1007
619	1638	1004
620	1640	1001
621	1641	997
622	1643	994
623	1646	991
624	1647	988
625	1649	985
626	1651	982
627	1653	979
628	1655	976
629	1657	973
630	1658	970
631	1660	966
632	1662	963
633	1664	960
634	1665	957
635	1667	954
636	1669	951
637	1671	948
638	1673	945
639	1674	942
640	1676	939
641	1678	936
642	1680	933
643	1682	930
644	1684	926
645	1685	923
646	1687	920
647	1689	917
648	1690	914
649	1692	911
650	1694	908
651	1696	905
652	1698	902
653	1701	900
654	1703	897
655	1705	894
656	1707	891
657	1709	888
658	1710	885
659	1712	882
660	1714	879
661	1716	876
662	1717	873
663	1722	871
664	1723	868
665	1727	866
666	1729	863
667	1731	860
668	1734	858
669	1736	855
670	1737	852
671	1739	849
672	1741	846
673	1743	843
674	1751	843
675	1754	840
676	1757	838
677	1759	835
678	1761	832
679	1762	829
680	1764	826
681	1766	823
682	1768	820
683	1770	817
684	1771	814
685	1773	811
686	1775	809
687	1777	806
688	1779	803
689	1781	800
690	1782	797
691	1784	794
692	1787	791
693	1789	788
694	1791	786
695	1793	783
696	1795	780
697	1797	777
698	1800	775
699	1801	772
700	1803	769
701	1805	766
702	1807	763
703	1809	760
704	1811	757
705	1813	755
706	1815	752
707	1817	749
708	1818	746
709	1820	743
710	1822	740
711	1824	738
712	1826	735
713	1828	732
714	1831	729
715	1833	727
716	1835	724
717	1838	721
718	1840	719
719	1841	716
720	1843	713
721	1845	710
722	1847	707
723	1849	704
724	1851	702
725	1853	699
726	1855	696
727	1857	693
728	1859	691
729	1860	688
730	1862	685
731	1865	683
732	1867	680
733	1869	677
734	1872	675
735	1874	672
736	1876	669
737	1878	666
738	1903	672
739	1922	675
740	1923	672
741	1925	669
742	1927	666
743	1928	663
744	1930	660
745	1932	657
746	1933	654
747	1937	652
748	1938	649
749	1940	646
750	1943	644
751	1944	641
752	1946	638
753	1948	635
754	1950	632
755	1951	629
756	1953	627
757	1955	624
758	1957	621
759	1959	618
760	1961	616
761	1963	613
762	1965	610
763	1966	607
764	1968	604
765	1970	601
766	2005	609
767	2010	607
768	2014	605
769	2018	602
770	2020	600
771	2023	597
772	2025	594
773	2027	591
774	2033	590
775	2035	587
776	2037	584
777	2039	581
778	2040	578
779	2042	576
780	2044	573
781	2045	570
782	2047	567
783	2049	564
784	2050	561
785	2052	558
786	2055	556
787	2057	553
788	2058	550
789	2060	547
790	2062	544
791	2064	542
792	2066	539
793	2068	536
794	2071	534
795	2074	531
796	2077	529
797	2078	526
798	2081	523
799	2083	520
800	2085	518
801	2086	515
802	2088	512
803	2090	509
804	2092	506
805	2094	504
806	2096	501
807	2097	498
808	2100	495
809	2102	493
810	2104	490
811	2106	487
812	2107	484
813	2109	482
814	2111	479
815	2113	476
816	2115	473
817	2117	471
818	2118	468
819	2120	465
820	2122	462
821	2125	460
822	2127	457
823	2129	454
824	2131	452
825	2132	449
826	2135	446
827	2138	444
828	2139	441
829	2141	438
830	2143	435
831	2145	433
832	2147	430
833	2149	427
834	2151	425
835	2153	422
836	2155	419
837	2157	417
838	2159	414
839	2160	411
840	2163	409
841	2165	406
842	2166	403
843	2168	400
844	2170	398
845	2171	395
846	2173	392
847	2175	389
848	2177	387
849	2180	384
850	2181	382
851	2184	379
852	2185	376
853	2188	374
854	2190	371
855	2192	368
856	2193	366
857	2195	363
858	2197	360
859	2199	358
860	2201	355
861	2204	352
862	2205	350
863	2207	347
864	2209	344
865	2210	342
866	2212	339
867	2214	336
868	2216	334
869	2218	331
870	2219	328
871	2221	326
872	2222	323
873	2225	320
874	2227	318
875	2228	315
876	2230	312
877	2231	310
878	2233	307
879	2235	304
880	2236	302
881	2239	299
882	2241	296
883	2242	294
884	2244	291
885	2246	289
886	2247	286
887	2249	283
888	2250	281
889	2253	278
890	2254	275
891	2256	273
892	2257	270
893	2259	267
894	2261	265
895	2262	262
896	2264	260
897	2266	257
898	2268	254
899	2270	252
900	2272	249
901	2275	247
902	2278	244
903	2280	242
904	2282	239
905	2284	237
906	2296	235
907	2298	232
908	2300	230
909	2303	227
910	2305	225
911	2307	222
912	2309	220
913	2311	217
914	2313	214
915	2315	212
916	2317	209
917	2324	207
918	2327	205
919	2329	202
920	2331	200
921	2340	198
922	2343	195
923	2347	193
924	2349	190
925	2351	187
926	2353	185
927	2355	182
928	2357	180
929	2359	177
930	2367	175
931	2370	172
932	2372	170
933	2376	167
934	2378	165
935	2382	162
936	2384	160
937	2387	157
938	2389	155
939	2391	152
940	2394	150
941	2396	147
942	2398	144
943	2402	142
944	2404	139
945	2406	137
946	2408	134
947	2410	132
948	2412	129
949	2415	127
950	2416	124
951	2418	121
952	2420	119
953	2422	116
954	2424	114
955	2426	111
956	2428	109
957	2430	106
958	2432	104
959	2434	101
960	2436	98
961	2438	96
962	2440	93
963	2442	91
964	2444	88
965	2447	86
966	2448	83
967	2451	81
968	2453	78
969	2455	75
970	2457	73
971	2460	70
972	2462	68
973	2464	65
974	2466	63
975	2468	60
976	2470	58
977	2472	55
978	2474	53
979	2476	50
980	2478	48
981	2481	45
982	2482	42
983	2484	40
984	2486	37
985	2487	35
986	2489	32
987	2491	30
988	2494	27
989	2496	25
990	2497	22
991	2499	20
992	2501	17
993	2504	15
994	2506	12
995	2508	10
996	2510	7
997	2512	5
998	2514	2
999	2516	0
